"TABLE 5.—LIST OF MEDICARE SEVERITY DIAGNOSIS-RELATED GROUPS (MS-DRGS), RELATIVE WEIGHTING FACTORS, AND GEOMETRIC AND ARITHMETIC MEAN LENGTH OF STAY—FY 2013"								
MS-DRG 	FY 2013 Final Rule Post-Acute DRG	FY 2013 Final Rule Special Pay DRG	MDC	TYPE	MS-DRG Title	Weights	Geometric mean LOS	Arithmetic mean LOS
001	No	No	PRE	SURG	HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC	26.0295	29.4	38.5
002	No	No	PRE	SURG	HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC	13.9131	15.5	19.7
003	Yes	No	PRE	SURG	"ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R."	17.7369	28.2	34.5
004	Yes	No	PRE	SURG	"TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R."	10.8833	20.9	25.5
005	No	No	PRE	SURG	LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT	10.9894	16.0	21.7
006	No	No	PRE	SURG	LIVER TRANSPLANT W/O MCC	4.7178	8.0	8.9
007	No	No	PRE	SURG	LUNG TRANSPLANT	9.6127	14.7	18.2
008	No	No	PRE	SURG	SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT	5.1110	9.8	11.4
010	No	No	PRE	SURG	PANCREAS TRANSPLANT	3.8954	8.0	8.6
011	No	No	PRE	SURG	"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC"	4.8434	11.9	14.9
012	No	No	PRE	SURG	"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC"	3.1576	8.5	10.0
013	No	No	PRE	SURG	"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC"	1.9566	5.6	6.5
014	No	No	PRE	SURG	ALLOGENEIC BONE MARROW TRANSPLANT	10.5255	18.6	25.8
016	No	No	PRE	SURG	AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC	6.0932	17.9	19.9
017	No	No	PRE	SURG	AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC	4.5817	11.0	14.2
020	No	No	01	SURG	INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC	9.1016	14.5	17.6
021	No	No	01	SURG	INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC	6.6400	11.8	13.5
022	No	No	01	SURG	INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC	4.5056	6.5	8.0
023	Yes	No	01	SURG	CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT	5.2378	7.9	11.1
024	Yes	No	01	SURG	CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC	3.5279	4.3	6.5
025	Yes	No	01	SURG	CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC	4.5958	8.1	10.5
026	Yes	No	01	SURG	CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC	2.9555	5.3	6.8
027	Yes	No	01	SURG	CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC	2.1631	2.8	3.6
028	Yes	Yes	01	SURG	SPINAL PROCEDURES W MCC	5.6028	9.9	12.9
029	Yes	Yes	01	SURG	SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS	2.9277	4.7	6.4
030	Yes	Yes	01	SURG	SPINAL PROCEDURES W/O CC/MCC	1.7854	2.4	3.2
031	Yes	No	01	SURG	VENTRICULAR SHUNT PROCEDURES W MCC	4.2645	8.5	12.0
032	Yes	No	01	SURG	VENTRICULAR SHUNT PROCEDURES W CC	2.0348	3.6	5.3
033	Yes	No	01	SURG	VENTRICULAR SHUNT PROCEDURES W/O CC/MCC	1.4381	2.0	2.6
034	No	No	01	SURG	CAROTID ARTERY STENT PROCEDURE W MCC	3.6918	4.7	7.0
035	No	No	01	SURG	CAROTID ARTERY STENT PROCEDURE W CC	2.1965	2.1	3.2
036	No	No	01	SURG	CAROTID ARTERY STENT PROCEDURE W/O CC/MCC	1.6610	1.3	1.5
037	No	No	01	SURG	EXTRACRANIAL PROCEDURES W MCC	3.1870	5.6	8.3
038	No	No	01	SURG	EXTRACRANIAL PROCEDURES W CC	1.5741	2.4	3.5
039	No	No	01	SURG	EXTRACRANIAL PROCEDURES W/O CC/MCC	1.0285	1.4	1.6
040	Yes	Yes	01	SURG	PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC	3.8680	8.9	11.7
041	Yes	Yes	01	SURG	PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM	2.1330	5.0	6.4
042	Yes	Yes	01	SURG	PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC	1.7744	2.6	3.4
052	No	No	01	MED	SPINAL DISORDERS & INJURIES W CC/MCC	1.4903	4.3	5.8
053	No	No	01	MED	SPINAL DISORDERS & INJURIES W/O CC/MCC	0.9046	2.9	3.5
054	Yes	No	01	MED	NERVOUS SYSTEM NEOPLASMS W MCC	1.3962	4.2	5.7
055	Yes	No	01	MED	NERVOUS SYSTEM NEOPLASMS W/O MCC	1.0486	3.2	4.3
056	Yes	No	01	MED	DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC	1.7194	5.4	7.1
057	Yes	No	01	MED	DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC	0.9680	3.6	4.7
058	No	No	01	MED	MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC	1.6472	5.4	7.0
059	No	No	01	MED	MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC	1.0088	3.9	4.7
060	No	No	01	MED	MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC	0.7807	3.1	3.6
061	No	No	01	MED	ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC	2.8668	6.0	7.8
062	No	No	01	MED	ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC	1.9551	4.5	5.2
063	No	No	01	MED	ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC	1.5366	3.2	3.7
064	Yes	No	01	MED	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	1.8424	4.8	6.6
065	Yes	No	01	MED	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	1.1345	3.7	4.5
066	Yes	No	01	MED	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC	0.8135	2.6	3.1
067	No	No	01	MED	NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC	1.5074	4.1	5.4
068	No	No	01	MED	NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC	0.8899	2.6	3.2
069	No	No	01	MED	TRANSIENT ISCHEMIA	0.7449	2.2	2.7
070	Yes	No	01	MED	NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC	1.7056	5.1	6.8
071	Yes	No	01	MED	NONSPECIFIC CEREBROVASCULAR DISORDERS W CC	1.0174	3.7	4.7
072	Yes	No	01	MED	NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC	0.7506	2.5	3.0
073	No	No	01	MED	CRANIAL & PERIPHERAL NERVE DISORDERS W MCC	1.2820	4.1	5.4
074	No	No	01	MED	CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC	0.8837	3.1	4.0
075	No	No	01	MED	VIRAL MENINGITIS W CC/MCC	1.7611	5.5	7.0
076	No	No	01	MED	VIRAL MENINGITIS W/O CC/MCC	0.8947	3.2	3.9
077	No	No	01	MED	HYPERTENSIVE ENCEPHALOPATHY W MCC	1.6426	4.8	6.0
078	No	No	01	MED	HYPERTENSIVE ENCEPHALOPATHY W CC	0.9790	3.2	4.0
079	No	No	01	MED	HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC	0.7297	2.4	2.9
080	No	No	01	MED	NONTRAUMATIC STUPOR & COMA W MCC	1.2616	3.7	5.2
081	No	No	01	MED	NONTRAUMATIC STUPOR & COMA W/O MCC	0.7416	2.7	3.4
082	No	No	01	MED	"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC"	1.9249	3.3	5.6
083	No	No	01	MED	"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC"	1.3458	3.4	4.5
084	No	No	01	MED	"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC"	0.8696	2.2	2.7
085	Yes	No	01	MED	"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC"	2.0387	5.0	6.8
086	Yes	No	01	MED	"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC"	1.1874	3.4	4.3
087	Yes	No	01	MED	"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC"	0.7605	2.2	2.7
088	No	No	01	MED	CONCUSSION W MCC	1.5687	4.1	5.3
089	No	No	01	MED	CONCUSSION W CC	0.9791	2.7	3.4
090	No	No	01	MED	CONCUSSION W/O CC/MCC	0.7218	1.8	2.2
091	Yes	No	01	MED	OTHER DISORDERS OF NERVOUS SYSTEM W MCC	1.6583	4.3	6.0
092	Yes	No	01	MED	OTHER DISORDERS OF NERVOUS SYSTEM W CC	0.9214	3.1	4.0
093	Yes	No	01	MED	OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC	0.6938	2.3	2.8
094	No	No	01	MED	BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC	3.5656	8.9	11.5
095	No	No	01	MED	BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC	2.4627	6.3	7.9
096	No	No	01	MED	BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC	2.0158	4.4	5.5
097	No	No	01	MED	NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC	3.3714	8.9	11.5
098	No	No	01	MED	NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC	1.8418	6.1	7.7
099	No	No	01	MED	NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC	1.2427	4.1	4.9
100	Yes	No	01	MED	SEIZURES W MCC	1.5570	4.3	5.8
101	Yes	No	01	MED	SEIZURES W/O MCC	0.7643	2.6	3.3
102	No	No	01	MED	HEADACHES W MCC	1.0209	3.0	4.1
103	No	No	01	MED	HEADACHES W/O MCC	0.6893	2.3	2.9
113	No	No	02	SURG	ORBITAL PROCEDURES W CC/MCC	1.8587	4.1	5.6
114	No	No	02	SURG	ORBITAL PROCEDURES W/O CC/MCC	0.9589	2.2	2.9
115	No	No	02	SURG	EXTRAOCULAR PROCEDURES EXCEPT ORBIT	1.2407	3.4	4.5
116	No	No	02	SURG	INTRAOCULAR PROCEDURES W CC/MCC	1.5022	3.5	5.1
117	No	No	02	SURG	INTRAOCULAR PROCEDURES W/O CC/MCC	0.7234	1.7	2.3
121	No	No	02	MED	ACUTE MAJOR EYE INFECTIONS W CC/MCC	0.9589	3.9	4.9
122	No	No	02	MED	ACUTE MAJOR EYE INFECTIONS W/O CC/MCC	0.6533	3.2	3.9
123	No	No	02	MED	NEUROLOGICAL EYE DISORDERS	0.7542	2.2	2.7
124	No	No	02	MED	OTHER DISORDERS OF THE EYE W MCC	1.1885	3.6	4.9
125	No	No	02	MED	OTHER DISORDERS OF THE EYE W/O MCC	0.6850	2.5	3.2
129	No	No	03	SURG	MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE	2.1500	3.7	5.4
130	No	No	03	SURG	MAJOR HEAD & NECK PROCEDURES W/O CC/MCC	1.2065	2.3	2.9
131	No	No	03	SURG	CRANIAL/FACIAL PROCEDURES W CC/MCC	2.3443	4.2	6.1
132	No	No	03	SURG	CRANIAL/FACIAL PROCEDURES W/O CC/MCC	1.2362	2.1	2.7
133	No	No	03	SURG	"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC"	1.7818	3.6	5.4
134	No	No	03	SURG	"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC"	0.9177	1.8	2.2
135	No	No	03	SURG	SINUS & MASTOID PROCEDURES W CC/MCC	2.0002	4.0	5.9
136	No	No	03	SURG	SINUS & MASTOID PROCEDURES W/O CC/MCC	1.0697	1.8	2.3
137	No	No	03	SURG	MOUTH PROCEDURES W CC/MCC	1.3192	3.8	5.0
138	No	No	03	SURG	MOUTH PROCEDURES W/O CC/MCC	0.7388	1.9	2.3
139	No	No	03	SURG	SALIVARY GLAND PROCEDURES	0.8922	1.4	1.8
146	No	No	03	MED	"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC"	2.2347	6.3	9.1
147	No	No	03	MED	"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC"	1.2486	3.9	5.4
148	No	No	03	MED	"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC"	0.7488	2.4	3.2
149	No	No	03	MED	DYSEQUILIBRIUM	0.6462	2.1	2.5
150	No	No	03	MED	EPISTAXIS W MCC	1.3890	3.8	5.2
151	No	No	03	MED	EPISTAXIS W/O MCC	0.6458	2.2	2.8
152	No	No	03	MED	OTITIS MEDIA & URI W MCC	1.0166	3.4	4.4
153	No	No	03	MED	OTITIS MEDIA & URI W/O MCC	0.6605	2.5	3.1
154	No	No	03	MED	"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC"	1.4138	4.3	5.7
155	No	No	03	MED	"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC"	0.9137	3.2	4.1
156	No	No	03	MED	"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC"	0.6349	2.3	2.8
157	No	No	03	MED	DENTAL & ORAL DISEASES W MCC	1.6010	4.7	6.6
158	No	No	03	MED	DENTAL & ORAL DISEASES W CC	0.8988	3.2	4.1
159	No	No	03	MED	DENTAL & ORAL DISEASES W/O CC/MCC	0.5969	2.1	2.6
163	Yes	No	04	SURG	MAJOR CHEST PROCEDURES W MCC	5.1193	11.3	13.7
164	Yes	No	04	SURG	MAJOR CHEST PROCEDURES W CC	2.6191	5.8	7.0
165	Yes	No	04	SURG	MAJOR CHEST PROCEDURES W/O CC/MCC	1.7922	3.5	4.1
166	Yes	No	04	SURG	OTHER RESP SYSTEM O.R. PROCEDURES W MCC	3.7513	9.1	11.5
167	Yes	No	04	SURG	OTHER RESP SYSTEM O.R. PROCEDURES W CC	2.0043	5.4	6.8
168	Yes	No	04	SURG	OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC	1.3153	3.1	4.1
175	Yes	No	04	MED	PULMONARY EMBOLISM W MCC	1.5870	5.5	6.6
176	Yes	No	04	MED	PULMONARY EMBOLISM W/O MCC	1.0379	3.9	4.6
177	Yes	No	04	MED	RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC	2.0549	6.6	8.2
178	Yes	No	04	MED	RESPIRATORY INFECTIONS & INFLAMMATIONS W CC	1.4403	5.3	6.4
179	Yes	No	04	MED	RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC	0.9799	3.8	4.6
180	No	No	04	MED	RESPIRATORY NEOPLASMS W MCC	1.7567	5.6	7.3
181	No	No	04	MED	RESPIRATORY NEOPLASMS W CC	1.2108	3.9	5.1
182	No	No	04	MED	RESPIRATORY NEOPLASMS W/O CC/MCC	0.8275	2.7	3.4
183	No	No	04	MED	MAJOR CHEST TRAUMA W MCC	1.4804	5.0	6.2
184	No	No	04	MED	MAJOR CHEST TRAUMA W CC	1.0171	3.5	4.2
185	No	No	04	MED	MAJOR CHEST TRAUMA W/O CC/MCC	0.6961	2.4	2.9
186	Yes	No	04	MED	PLEURAL EFFUSION W MCC	1.5746	4.9	6.4
187	Yes	No	04	MED	PLEURAL EFFUSION W CC	1.1169	3.7	4.7
188	Yes	No	04	MED	PLEURAL EFFUSION W/O CC/MCC	0.7544	2.6	3.3
189	No	No	04	MED	PULMONARY EDEMA & RESPIRATORY FAILURE	1.2461	4.1	5.2
190	Yes	No	04	MED	CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC	1.1860	4.3	5.3
191	Yes	No	04	MED	CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC	0.9521	3.6	4.4
192	Yes	No	04	MED	CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC	0.7072	2.9	3.4
193	Yes	No	04	MED	SIMPLE PNEUMONIA & PLEURISY W MCC	1.4893	5.1	6.3
194	Yes	No	04	MED	SIMPLE PNEUMONIA & PLEURISY W CC	0.9996	3.9	4.7
195	Yes	No	04	MED	SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC	0.7078	3.0	3.5
196	Yes	No	04	MED	INTERSTITIAL LUNG DISEASE W MCC	1.6820	5.5	6.9
197	Yes	No	04	MED	INTERSTITIAL LUNG DISEASE W CC	1.1209	3.9	4.8
198	Yes	No	04	MED	INTERSTITIAL LUNG DISEASE W/O CC/MCC	0.7879	2.9	3.6
199	No	No	04	MED	PNEUMOTHORAX W MCC	1.8915	6.1	7.8
200	No	No	04	MED	PNEUMOTHORAX W CC	1.0242	3.5	4.5
201	No	No	04	MED	PNEUMOTHORAX W/O CC/MCC	0.6792	2.6	3.3
202	No	No	04	MED	BRONCHITIS & ASTHMA W CC/MCC	0.8704	3.3	4.0
203	No	No	04	MED	BRONCHITIS & ASTHMA W/O CC/MCC	0.6228	2.5	3.0
204	No	No	04	MED	RESPIRATORY SIGNS & SYMPTOMS	0.6822	2.1	2.7
205	Yes	No	04	MED	OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC	1.3809	4.0	5.3
206	Yes	No	04	MED	OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC	0.7763	2.5	3.2
207	Yes	No	04	MED	RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS	5.3619	12.5	14.6
208	No	No	04	MED	RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS	2.2899	5.1	7.0
215	No	No	05	SURG	OTHER HEART ASSIST SYSTEM IMPLANT	14.1036	8.5	15.0
216	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC	9.5190	13.8	16.4
